,Nuclide,half_life,Type,f_1,1_mu_amad,5_mu_amad,f_1,e_ing_50
0,Mg-27,9.462 m,F,0.5,7.7e-12,1.3e-11,0.5,2.1e-11
0,Mg-27,9.462 m,M,0.5,1.1e-11,1.8e-11,,
1,Al-28,2.2414 m,F,0.01,3.2e-12,5.3e-12,0.01,9.9E-12
2,Al-28,2.2414 m,M,0.01,3.6e-12,6e-12,,
3,Al-29,6.56 m,F,0.01,6.9e-12,1.2e-11,0.01,2.1E-11
4,Al-29,6.56 m,M,0.01,9.1e-12,1.5e-11,,
5,P-30,2.498 m,F,0.8,3.4e-12,5.5e-12,0.8,1.2E-11
6,P-30,2.498 m,M,0.8,3.9e-12,6.3e-12,,
7,P-30,2.498 m,S,0.8,3.9e-12,6.4e-12,,
8,S-37_inorg,5.05 m,F,0.8,6.4e-12,1.1e-11,0.8,1.6E-11
9,S-37_inorg,5.05 m,M,0.8,7.9e-12,1.4e-11,0.1,1.6E-11
10,S-37_org,5.05 m,V,0,1.1E-11,1.1E-11,1.0,1.5e-11
11,S-38_inorg,170.3 m,F,0.8,1.4e-10,2.4e-10,0.8,4.3E-10
12,S-38_inorg,170.3 m,M,0.8,2.5e-10,3.6e-10,0.1,6.4E-10
13,S-38_org,170.3 m,V,0,2.OE-10,2.OE-10,1.0,2.7e-10
14,Cl-34m,32.00 m,F,1.0,2.9e-11,5.1e-11,1.0,1.0E-10
15,Cl-34m,32.00 m,M,1.0,4.6e-11,7.5e-11,,
16,Cl-40,1.35 m,F,1.0,2.6e-12,4.4e-12,1.0,8.5E-12
17,Cl-40,1.35 m,M,1.0,2.8e-12,4.8e-12,,
18,K-38,7.636 m,F,1.0,1e-11,1.8e-11,1.0,3.3E-11
19,Ca-49,8.718 m,M,0.3,1.8e-11,3e-11,0.3,3.9E-11
20,Ti-51,5.76 m,F,0.01,5.1e-12,8.5e-12,0.01,1.5E-11
21,Ti-51,5.76 m,M,0.01,6.8e-12,1.1e-11,,
22,Ti-51,5.76 m,S,0.01,6.9e-12,1.1e-11,,
23,V-50,1.5E+17 y,F,0.01,8.4e-08,9.9e-08,0.01,4.2E-09
24,V-50,1.5E+17 y,M,0.01,3.5e-08,2.5e-08,,
25,V-52,3.743 m,F,0.01,4.6e-12,7.7e-12,0.01,1.4E-11
26,V-52,3.743 m,M,0.01,5.6e-12,9.3e-12,,
27,V-53,1.61 m,F,0.01,2.1e-12,3.5e-12,0.01,5.7E-12
28,V-53,1.61 m,M,0.01,2.3e-12,3.9e-12,,
29,Cr-55,3.497 m,F,0.1,3.4e-12,5.6e-12,0.1,1.2E-11
30,Cr-55,3.497 m,M,0.1,4.2e-12,6.8e-12,0.01,1.2E-11
31,Cr-55,3.497 m,S,0.1,4.3e-12,6.9e-12,,
32,Cr-56,5.94 m,F,0.1,7.3e-12,1.3e-11,0.1,2.1E-11
33,Cr-56,5.94 m,M,0.1,1.1e-11,1.8e-11,0.01,2.1E-11
34,Cr-56,5.94 m,S,0.1,1.1e-11,1.8e-11,,
35,Mn-57,1.42333 m,F,0.1,1.6e-12,2.7e-12,0.1,5.1E-12
36,Mn-57,1.42333 m,M,0.1,1.8e-12,3e-12,,
37,Mn-58m,1.08666 m,F,0.1,1.9e-12,3.2e-12,0.1,7.0E-12
38,Mn-58m,1.08666 m,M,0.1,2.1e-12,3.4e-12,,
39,Fe-53,8.51 m,F,0.1,8.6e-12,1.4e-11,0.1,3.0E-11
40,Fe-53,8.51 m,M,0.1,1.2e-11,1.9e-11,,
41,Co-62,1.50 m,M,0.1,2.5e-12,4.1e-12,0.1,8.6E-12
42,Co-62,1.50 m,S,0.05,2.5e-12,4.2e-12,0.05,8.6E-12
43,Cu-62,9.74 m,F,0.5,9.5e-12,1.6e-11,0.5,3.7E-11
44,Cu-62,9.74 m,M,0.5,1.3e-11,2.2e-11,,
45,Cu-62,9.74 m,S,0.5,1.4e-11,2.3e-11,,
46,Cu-66,5.088 m,F,0.5,4.6e-12,7.5e-12,0.5,1.6E-11
47,Cu-66,5.088 m,M,0.5,6e-12,9.8e-12,,
48,Cu-66,5.088 m,S,0.5,6.2e-12,1e-11,,
49,As-68,2.52666 m,M,0.5,5.9e-12,9.6e-12,0.5,1.9E-11
50,As-79,9.01 m,M,0.5,1.3e-11,2.1e-11,0.5,2.4E-11
51,Se-71,4.74 m,F,0.8,6.4e-12,1.1e-11,0.8,2.3E-11
52,Se-71,4.74 m,M,0.8,8.2e-12,1.3e-11,0.05,2.3E-11
53,Se-72,8.40 d,F,0.8,2e-09,2.8e-09,0.8,5.1E-09
54,Se-72,8.40 d,M,0.8,3.6e-09,3.9e-09,0.05,2.6E-09
55,Se-79m,3.92 m,F,0.8,1.9e-12,3.2e-12,0.8,1.0E-12
56,Se-79m,3.92 m,M,0.8,2.4e-12,4e-12,0.05,1.0E-12
57,Br-77m,4.28 m,F,1.0,2.6e-12,4.3e-12,1.0,1.3E-12
58,Br-77m,4.28 m,M,1.0,3.3e-12,5.5e-12,,
59,Br-78,6.46 m,F,1.0,6.4e-12,1.1e-11,1.0,2.1E-11
60,Br-78,6.46 m,M,1.0,8.4e-12,1.4e-11,,
61,Br-82m,6.13 m,F,1.0,1.5e-12,2.4e-12,1.0,2.8E-12
62,Br-82m,6.13 m,M,1.0,2.3e-12,3.3e-12,,
63,Br-84m,6.0 m,F,1.0,7.9e-12,1.4e-11,1.0,2.1E-11
64,Br-84m,6.0 m,M,1.0,1e-11,1.7e-11,,
65,Rb-77,3.77 m,F,1.0,6.9e-12,1.1e-11,1.0,2.6E-11
66,Rb-78,17.66 m,F,1.0,2.1e-11,3.7e-11,1.0,7.0E-11
67,Rb-82,1.273 m,F,1.0,1.8e-12,2.9e-12,1.0,6.3E-12
68,Rb-84m,20.26 m,F,1.0,5.1e-12,8.9e-12,1.0,7.1E-12
69,Rb-86m,1.017 m,F,1.0,1.9e-13,3.3e-13,1.0,3.3E-13
70,Rb-90,2.63333 m,F,1.0,4.2e-12,6.8e-12,1.0,1.8E-11
71,Rb-90m,4.3 m,F,1.0,6.9e-12,6.9e-12,1.0,2.3E-11
72,Y-83,7.08 m,M,0.0001,1.2e-11,1.9e-11,0.0001,3.2E-11
73,Y-83,7.08 m,S,0.0001,1.2e-11,2e-11,,
74,Y-83m,2.85 m,M,0.0001,5.2e-12,8.4e-12,0.0001,1.4E-11
75,Y-83m,2.85 m,S,0.0001,5.3e-12,8.6e-12,,
76,Y-84m,40 m,M,0.0001,6e-11,1e-10,0.0001,1.2E-10
77,Y-84m,40 m,S,0.0001,6.2e-11,1e-10,,
78,Y-85,2.68 h,M,0.0001,9.8e-11,1.5e-10,0.0001,1.9E-10
79,Y-85,2.68 h,S,0.0001,9.9e-11,1.6e-10,,
80,Y-85m,4.86 h,M,0.0001,1.7e-10,2.6e-10,0.0001,3.8E-10
81,Y-85m,4.86 h,S,0.0001,1.8e-10,2.7e-10,,
82,Y-87m,13.37 h,M,0.0001,1.4e-10,1.9e-10,0.0001,2.2E-10
83,Y-87m,13.37 h,S,0.0001,1.4e-10,2e-10,,
84,Zr-85,7.86 m,F,0.002,1.1e-11,1.9e-11,0.002,4.3E-11
85,Zr-85,7.86 m,M,0.002,1.6e-11,2.6e-11,,
86,Zr-85,7.86 m,S,0.002,1.7e-11,2.7e-11,,
87,Zr-87,1.68 h,F,0.002,4.7e-11,8.3e-11,0.002,2.0E-10
88,Zr-87,1.68 h,M,0.002,9e-11,1.4e-10,,
89,Zr-87,1.68 h,S,0.002,9.5e-11,1.4e-10,,
90,Zr-89m,4.18 m,F,0.002,1e-12,1.8e-12,0.002,1.9E-12
91,Zr-89m,4.18 m,M,0.002,1.3e-12,2.2e-12,,
92,Zr-89m,4.18 m,S,0.002,1.3e-12,2.2e-12,,
93,Nb-88m,7.8 m,M,0.01,1.7e-11,2.8e-11,0.01,4.2E-11
94,Nb-88m,7.8 m,S,0.01,1.7e-11,2.8e-11,,
95,Nb-91,6.8E+2 y,M,0.01,2.8e-10,1.9e-10,0.01,4.6E-11
96,Nb-91,6.8E+2 y,S,0.01,1.7e-09,1e-09,,
97,Nb-91m,60.86 d,M,0.01,3.2e-09,2.8e-09,0.01,4.1E-10
98,Nb-91m,60.86 d,S,0.01,3.9e-09,3.4e-09,,
99,Nb-92,3.47E+7 y,M,0.01,5e-09,3.4e-09,0.01,1.0E-09
100,Nb-92,3.47E+7 y,S,0.01,2.5e-08,1.5e-08,,
101,Nb-92m,10.15 d,M,0.01,4.3e-10,5.4e-10,0.01,5.0E-10
102,Nb-92m,10.15 d,S,0.01,4.4e-10,5.4e-10,,
103,Nb-94m,6.26 m,M,0.01,3.3e-13,4.7e-13,0.01,7.1E-13
104,Nb-94m,6.26 m,S,0.01,3.4e-13,4.8e-13,,
105,Mo-91,15.49 m,F,0.8,1.4e-11,2.3e-11,0.8,6.0E-11
106,Mo-91,15.49 m,S,0.05,2.2e-11,3.5e-11,0.05,6.1E-11
107,Mo-102,11.3 m,F,0.8,1.6e-11,2.7e-11,0.8,6.9E-11
108,Mo-102,11.3 m,S,0.05,2.6e-11,4.2e-11,0.05,6.9E-11
109,Tc-102m,4.35 m,F,0.8,5.9e-12,1e-11,0.8,1.4E-11
110,Tc-102m,4.35 m,M,0.8,7.1e-12,1.2e-11,,		
111,Ru-95,1.643 h,F,0.05,2.8e-11,5.3e-11,0.05,6.3E-11
112,Ru-95,1.643 h,M,0.05,3.8e-11,6.6e-11,,
113,Ru-95,1.643 h,S,0.05,3.9e-11,6.7e-11,,
114,Rh-97,30.7 m,F,0.05,1.6e-11,2.8e-11,0.05,4.9E-11
115,Rh-97,30.7 m,M,0.05,2.4e-11,4e-11,,
116,Rh-97,30.7 m,S,0.05,2.5e-11,4.2e-11,,
117,Rh-97m,46.2 m,F,0.05,2e-11,3.7e-11,0.05,4.8E-11
118,Rh-97m,46.2 m,M,0.05,2.8e-11,4.9e-11,,
119,Rh-97m,46.2 m,S,0.05,2.9e-11,5e-11,,
120,Rh-98,8.7 m,F,0.05,9.9e-12,1.7e-11,0.05,3.7E-11
121,Rh-98,8.7 m,M,0.05,1.3e-11,2.2e-11,,
122,Rh-98,8.7 m,S,0.05,1.4e-11,2.3e-11,,
123,Rh-100m,4.6 m,F,0.05,2e-12,3.3e-12,0.05,3.7E-12
124,Rh-100m,4.6 m,M,0.05,2.5e-12,4e-12,,
125,Rh-100m,4.6 m,S,0.05,2.6e-12,4.1e-12,,
126,Pd-98,17.7 m,F,0.005,1.7e-11,3e-11,0.005,6.3E-11
127,Pd-98,17.7 m,M,0.005,2.8e-11,4.6e-11,,
128,Pd-98,17.7 m,S,0.005,2.9e-11,4.7e-11,,
129,Pd-99,21.4 m,F,0.005,1.3e-11,2.3e-11,0.005,3.6E-11
130,Pd-99,21.4 m,M,0.005,2e-11,3.3e-11,,
131,Pd-99,21.4 m,S,0.005,2e-11,3.4e-11,,
132,Pd-109m,4.69 m,F,0.005,2.8e-12,4.9e-12,0.005,4.5E-12
133,Pd-109m,4.69 m,M,0.005,4.8e-12,7.4e-12,,
134,Pd-109m,4.69 m,S,0.005,5e-12,7.7e-12,,
135,Pd-111,23.4 m,F,0.005,1.3e-11,2.1e-11,0.005,5.0E-11
136,Pd-111,23.4 m,M,0.005,2.5e-11,3.7e-11,,
137,Pd-111,23.4 m,S,0.005,2.7e-11,3.9e-11,,
138,Pd-112,21.03 h,F,0.005,5.2e-10,8.2e-10,0.005,2.6E-09
139,Pd-112,21.03 h,M,0.005,1.1e-09,1.4e-09,,
140,Pd-112,21.03 h,S,0.005,1.1e-09,1.5e-09,,
141,Ag-101,11.1 m,F,0.05,1e-11,1.8e-11,0.05,3.2E-11
142,Ag-101,11.1 m,M,0.05,1.4e-11,2.4e-11,,
143,Ag-101,11.1 m,S,0.05,1.5e-11,2.4e-11,,
144,Ag-105m,7.23 m,F,0.05,1.2e-13,1.7e-13,0.05,5.8E-13
145,Ag-105m,7.23 m,M,0.05,1.6e-13,1.8e-13,,
146,Ag-105m,7.23 m,S,0.05,1.7e-13,1.9e-13,,
147,Ag-108,2.37 m,F,0.05,2.2e-12,3.7e-12,0.05,4.6E-12
148,Ag-108,2.37 m,M,0.05,2.6e-12,4.4e-12,,
149,Ag-108,2.37 m,S,0.05,2.6e-12,4.4e-12,,
150,Ag-111m,1.08 m,F,0.05,1.5e-13,1.9e-13,0.05,3.3E-13
151,Ag-111m,1.08 m,M,0.05,2.7e-13,2.9e-13,,
152,Ag-111m,1.08 m,S,0.05,2.8e-13,3.1e-13,,
153,Ag-113,5.37 h,F,0.05,6.8e-11,1.2e-10,0.05,4.1E-10
154,Ag-113,5.37 h,M,0.05,1.6e-10,2.3e-10,,
155,Ag-113,5.37 h,S,0.05,1.7e-10,2.5e-10,,
156,Ag-113m,1.145 m,F,0.05,1.2e-12,1.2e-12,0.05,4.1E-10
157,Ag-113m,1.145 m,M,0.05,2.3e-10,1.5e-12,,
158,Ag-113m,1.145 m,S,0.05,2.5e-10,1.6e-12,,
159,Cd-105,55.5 m,F,0.05,1.7e-11,3e-11,0.05,4.4E-11
160,Cd-105,55.5 m,M,0.05,2.4e-11,4.1e-11,,
161,Cd-105,55.5 m,S,0.05,2.5e-11,4.2e-11,,
162,Cd-111m,48.54 m,F,0.05,1.1e-11,1.9e-11,0.05,1.4E-11
163,Cd-111m,48.54 m,M,0.05,2.2e-11,3.6e-11,,
164,Cd-111m,48.54 m,S,0.05,2.4e-11,3.8e-11,,
165,Cd-113m,14.1 y,F,0.05,1.1e-07,1.3e-07,0.05,2.3E-08
166,Cd-113m,14.1 y,M,0.05,5e-08,4.1e-08,,
167,Cd-113m,14.1 y,S,0.05,2.9e-08,2.3e-08,,
168,Cd-118,50.3 m,F,0.05,3.7e-11,6.2e-11,0.05,1.9E-10
169,Cd-118,50.3 m,M,0.05,7.6e-11,1.2e-10,,
170,Cd-118,50.3 m,S,0.05,8.1e-11,1.2e-10,,		
171,In-107,32.4 m,F,0.02,1.5e-11,2.7e-11,0.02,4.1E-11
172,In-107,32.4 m,M,0.02,2.5e-11,4.1e-11,,
173,In-108,58.0 m,F,0.02,4e-11,7.5e-11,0.02,8.3E-11
174,In-108,58.0 m,M,0.02,5.2e-11,9.2e-11,,
175,In-108m,39.6 m,F,0.02,2.6e-11,4.7e-11,0.02,8.5E-11
176,In-108m,39.6 m,M,0.02,3.9e-11,6.5e-11,,
177,In-109m,1.34 m,F,0.02,4.4e-13,8e-13,0.02,7.8E-13
178,In-109m,1.34 m,M,0.02,5.2e-13,9e-13,,
179,In-111m,7.7 m,F,0.02,1.6e-12,2.9e-12,0.02,3.2E-12
180,In-111m,7.7 m,M,0.02,2.2e-12,3.7e-12,,
181,In-112m,20.56 m,F,0.02,1.1e-11,2e-11,0.02,1.7E-11
182,In-112m,20.56 m,M,0.02,2.2e-11,3.6e-11,,
183,In-114,1.19833 m,F,0.02,1.3e-12,2.2e-12,0.02,3.0E-12
184,In-114,1.19833 m,M,0.02,1.4e-12,2.4e-12,,
185,In-118m,4.364 m,F,0.02,6e-12,1e-11,0.02,1.3E-11
186,In-118m,4.364 m,M,0.02,7.2e-12,1.3e-11,,
187,In-119,2.4 m,F,0.02,2.7e-12,4.5e-12,0.02,5.5E-12
188,In-119,2.4 m,M,0.02,3.1e-12,5.2e-12,,
189,Sn-108,10.30 m,F,0.02,8.2e-12,1.5e-11,0.02,2.3E-11
190,Sn-108,10.30 m,M,0.02,1.2e-11,2e-11,,
191,Sn-109,18.0 m,F,0.02,9.8e-12,1.8e-11,0.02,1.9E-11
192,Sn-109,18.0 m,M,0.02,1.2e-11,2.2e-11,,
193,Sn-113m,21.4 m,F,0.02,2e-12,3e-12,0.02,3.3E-12
194,Sn-113m,21.4 m,M,0.02,4e-12,5.3e-12,,
195,Sn-125m,9.52 m,F,0.02,7.2e-12,1.2e-11,0.02,2.2E-11
196,Sn-125m,9.52 m,M,0.02,1e-11,1.7e-11,,          
197,Sb-114,3.49 m,F,0.1,4.8e-12,8.2e-12,0.1,1.5E-11
198,Sb-114,3.49 m,M,0.01,5.7e-12,9.5e-12,,
199,Sb-118,3.6 m,F,0.1,3.3e-12,5.4e-12,0.1,1.1E-11
200,Sb-118,3.6 m,M,0.01,3.9e-12,6.5e-12,,
201,Sb-122m,4.191 m,F,0.1,1.1e-12,1.6e-12,0.1,3.2E-12
202,Sb-122m,4.191 m,M,0.01,2e-12,2.5e-12,,
203,Sb-124m,1.55 m,F,0.1,5.7e-13,9.9e-13,0.1,8.5E-13
204,Sb-124m,1.55 m,M,0.01,6.8e-13,1.1e-12,,
205,Te-117,62 m,F,0.3,2.2e-11,4e-11,0.3,5.4E-11
206,Te-117,62 m,M,0.3,3.3e-11,5.5e-11,,
207,Te-118,6.00 d,F,0.3,8.9e-10,1.4e-09,0.3,3.0E-09
208,Te-118,6.00 d,M,0.3,2.2e-09,2.3e-09,,
209,Te-119,16.03 h,F,0.3,8.2e-11,1.5e-10,0.3,1.8E-10
210,Te-119,16.03 h,M,0.3,1e-10,1.8e-10,,
211,Te-119m,4.70 d,F,0.3,3.6e-10,6e-10,0.3,7.3E-10
212,Te-119m,4.70 d,M,0.3,5.3e-10,7.3e-10,,
213,I-118,13.7 m,F,1.0,6e-11,8.9e-11,1.0,2.0E-10
214,I-119,19.1 m,F,1.0,1.6e-11,2.6e-11,1.0,4.6E-11
215,I-122,3.63 m,F,1.0,3.7e-12,6.2e-12,1.0,1.4E-11
216,Cs-126,1.64 m,F,1.0,2e-12,3.3e-12,1.0,7.6E-12
217,Cs-128,3.62 m,F,1.0,3.2e-12,5.4e-12,1.0,1.1E-11
218,Cs-130m,3.46 m,F,1.0,1.7e-12,2.8e-12,1.0,4.1E-12
219,Cs-139,9.27 m,F,1.0,1.1e-11,1.8e-11,1.0,5.2E-11
220,Ba-124,11.0 m,F,0.1,1.7e-11,2.8e-11,0.1,6.9E-11
221,Ba-127,12.7 m,F,0.1,8.4e-12,1.4e-11,0.1,2.8E-11
222,Ba-129,2.23 h,F,0.1,2.1e-11,3.6e-11,0.1,5.2E-11
223,Ba-129m,2.16 h,F,0.1,4.2e-11,7.6e-11,0.1,7.8E-11
224,Ba-137m,2.552 m,F,0.1,5.8e-13,1e-12,0.1,1.0E-12
225,La-129,11.6 m,F,0.0005,8.6e-12,1.5e-11,0.0005,2.7E-11
226,La-129,11.6 m,M,0.0005,1.3e-11,2.1e-11,,
227,La-130,8.7 m,F,0.0005,9.3e-12,1.6e-11,0.0005,3.3E-11
228,La-130,8.7 m,M,0.0005,1.2e-11,2.1e-11,,
229,La-132m,24.3 m,F,0.0005,1.3e-11,2.3e-11,0.0005,3.8E-11
230,La-132m,24.3 m,M,0.0005,2.1e-11,3.4e-11,,
231,La-133,3.912 h,F,0.0005,1.5e-11,2.7e-11,0.0005,4.6E-11
232,La-133,3.912 h,M,0.0005,2.4e-11,3.7e-11,,
233,La-134,6.45 m,F,0.0005,4.5e-12,7.6e-12,0.0005,1.6E-11
234,La-134,6.45 m,M,0.0005,5.9e-12,9.8e-12,,
235,La-136,9.87 m,F,0.0005,3.2e-12,5.6e-12,0.0005,9.6E-12
236,La-136,9.87 m,M,0.0005,4.6e-12,7.6e-12,,
237,Ce-130,22.9 m,M,0.0005,3.6e-11,5.8e-11,0.0005,7.2E-11
238,Ce-130,22.9 m,S,0.0005,3.7e-11,6.1e-11,,
239,Ce-131,10.2 m,M,0.0005,1.4e-11,2.4e-11,0.0005,2.8E-11
240,Ce-131,10.2 m,S,0.0005,1.5e-11,2.4e-11,,
241,Ce-131m,5.0 m,M,0.0005,7.7e-12,1.3e-11,0.0005,1.8E-11
242,Ce-131m,5.0 m,S,0.0005,7.9e-12,1.3e-11,,
243,Ce-132,3.51 h,M,0.0005,1.4e-10,2.3e-10,0.0005,3.4E-10
244,Ce-132,3.51 h,S,0.0005,1.5e-10,2.3e-10,,
245,Ce-133,97 m,M,0.0005,5.1e-11,7.6e-11,0.0005,9.1E-11
246,Ce-133,97 m,S,0.0005,5.3e-11,7.9e-11,,
247,Ce-133m,4.9 h,M,0.0005,1.3e-10,2.1e-10,0.0005,2.3E-10
248,Ce-133m,4.9 h,S,0.0005,1.3e-10,2.2e-10,,
249,Ce-146,13.52 m,M,0.0005,2.6e-11,4.2e-11,0.0005,4.7E-11
250,Ce-146,13.52 m,S,0.0005,2.7e-11,4.4e-11,,
251,Pr-134,17 m,M,0.0005,3.1e-11,4.8e-11,0.0005,8.1E-11
252,Pr-134,17 m,S,0.0005,3.2e-11,5e-11,,
253,Pr-134m,11 m,M,0.0005,2.1e-11,3.3e-11,0.0005,4.6E-11
254,Pr-134m,11 m,S,0.0005,2.1e-11,3.4e-11,,
255,Pr-135,24 m,M,0.0005,2.1e-11,3.5e-11,0.0005,4.6E-11
256,Pr-135,24 m,S,0.0005,2.2e-11,3.6e-11,,
257,Pr-138,1.45 m,M,0.0005,1.7e-12,2.8e-12,0.0005,5.8E-12
258,Pr-138,1.45 m,S,0.0005,1.8e-12,2.9e-12,,
259,Pr-140,3.39 m,M,0.0005,2.5e-12,4.2e-12,0.0005,6.4E-12
260,Pr-140,3.39 m,S,0.0005,2.6e-12,4.3e-12,,
261,Pr-144m,7.2 m,M,0.0005,7.5e-12,1.1e-11,0.0005,2.0E-11
262,Pr-144m,7.2 m,S,0.0005,7.9e-12,1.2e-11,,
263,Pr-146,24.15 m,M,0.0005,3e-11,4.8e-11,0.0005,7.8E-11
264,Pr-146,24.15 m,S,0.0005,3.1e-11,4.9e-11,,
265,Nd-135,12.4 m,M,0.0005,2.7e-11,4.4e-11,0.0005,6.0E-11
266,Nd-135,12.4 m,S,0.0005,2.8e-11,4.5e-11,,
267,Nd-137,38.5 m,M,0.0005,3e-11,4.8e-11,0.0005,5.9E-11
268,Nd-137,38.5 m,S,0.0005,3.1e-11,5e-11,,
269,Nd-140,3.37 d,M,0.0005,1.1e-09,1.3e-09,0.0005,2.0E-09
270,Nd-140,3.37 d,S,0.0005,1.1e-09,1.3e-09,,
271,Nd-141m,1.03333 m,M,0.0005,3.1e-13,5.5e-13,0.0005,5.1E-13
272,Nd-141m,1.03333 m,S,0.0005,3.1e-13,5.6e-13,,
273,Nd-144,2.29E+15 y,M,0.0005,7.4e-06,5e-06,0.0005,4.1E-08
274,Nd-144,2.29E+15 y,S,0.0005,3.2e-06,1.6e-06,,
275,Nd-152,11.4 m,M,0.0005,2.4e-11,3.9e-11,0.0005,4.9E-11
276,Nd-152,11.4 m,S,0.0005,2.5e-11,4e-11,,
277,Pm-138,3.24 m,M,0.0005,7.9e-12,1.3e-11,0.0005,2.3E-11
278,Pm-138,3.24 m,S,0.0005,8.1e-12,1.3e-11,,
279,Pm-139,4.15 m,M,0.0005,6.2e-12,1e-11,0.0005,1.8E-11
280,Pm-139,4.15 m,S,0.0005,6.4e-12,1e-11,,
281,Pm-140m,5.95 m,M,0.0005,1.1e-11,1.8e-11,0.0005,2.6E-11
282,Pm-140m,5.95 m,S,0.0005,1.1e-11,1.8e-11,,
283,Pm-152,4.12 m,M,0.0005,5.9e-12,9.7e-12,0.0005,1.7E-11
284,Pm-152,4.12 m,S,0.0005,6.1e-12,9.9e-12,,	
285,Sm-140,14.82 m,M,0.0005,3.3e-11,5.2e-11,0.0005,9.8E-11
286,Sm-143,8.83 m,M,0.0005,5.6e-12,9.2e-12,0.0005,1.4E-11
